date,rr,precipitation
19970831,    0,0
19970901,    0,0
19970902,    0,0
19970903,   18,1.8
19970904,    0,0
19970905,    4,0.4
19970906,    0,0
19970907,    0,0
19970908,    0,0
19970909,    0,0
19970910,    0,0
19970911,    4,0.4
19970912,   40,4
19970913,    0,0
19970914,    0,0
19970915,    0,0
19970916,    0,0
19970917,    0,0
19970918,    2,0.2
19970919,    0,0
19970920,    0,0
19970921,    0,0
19970922,    0,0
19970923,    0,0
19970924,    0,0
19970925,    0,0
19970926,    0,0
19970927,    0,0
19970928,    0,0
19970929,    0,0
19970930,    0,0
19971001,    0,0
19971002,    0,0
19971003,    0,0
19971004,    0,0
19971005,    0,0
19971006,   78,7.8
19971007,   40,4
19971008,   44,4.4
19971009,   56,5.6
19971010,    0,0
19971011,  128,12.8
19971012,    0,0
19971013,    4,0.4
19971014,   96,9.6
19971015,    0,0
19971016,    2,0.2
19971017,    0,0
19971018,    1,0.1
19971019,    0,0
19971020,    0,0
19971021,    0,0
19971022,    0,0
19971023,    0,0
19971024,    0,0
19971025,    0,0
19971026,    0,0
19971027,    0,0
19971028,    0,0
19971029,    0,0
19971030,    0,0
19971031,    0,0
19971101,    2,0.2
19971102,    2,0.2
19971103,    0,0
19971104,   10,1
19971105,   37,3.7
19971106,    0,0
19971107,   36,3.6
19971108,   12,1.2
19971109,    2,0.2
19971110,    6,0.6
19971111,    0,0
19971112,    0,0
19971113,    4,0.4
19971114,    7,0.7
19971115,   26,2.6
19971116,    0,0
19971117,    0,0
19971118,   27,2.7
19971119,   80,8
19971120,   28,2.8
19971121,    8,0.8
19971122,   42,4.2
19971123,    2,0.2
19971124,    2,0.2
19971125,    0,0
19971126,   46,4.6
19971127,   74,7.4
19971128,    2,0.2
19971129,   16,1.6
19971130,    0,0
19971201,   60,6
19971202,    0,0
19971203,    0,0
19971204,    0,0
19971205,    0,0
19971206,    0,0
19971207,   10,1
19971208,    2,0.2
19971209,   50,5
19971210,    6,0.6
19971211,    2,0.2
19971212,    0,0
19971213,    0,0
19971214,    0,0
19971215,    0,0
19971216,    2,0.2
19971217,   68,6.8
19971218,   44,4.4
19971219,    0,0
19971220,    0,0
19971221,    0,0
19971222,   52,5.2
