date,ss,sunshine
20171203,    0,0
20171204,    0,0
20171205,    0,0
20171206,    0,0
20171207,    9,0.9
20171208,   41,4.1
20171209,   37,3.7
20171210,    0,0
20171211,    0,0
20171212,   44,4.4
20171213,    1,0.1
20171214,   40,4
20171215,   41,4.1
20171216,   22,2.2
20171217,    0,0
20171218,   47,4.7
20171219,   29,2.9
20171220,    0,0
20171221,    0,0
20171222,    0,0
20171223,    0,0
20171224,    0,0
20171225,    0,0
20171226,   23,2.3
20171227,    0,0
20171228,   54,5.4
20171229,   10,1
20171230,    5,0.5
20171231,    0,0
20180101,    2,0.2
20180102,    0,0
20180103,   13,1.3
20180104,    1,0.1
20180105,   23,2.3
20180106,    9,0.9
20180107,   48,4.8
20180108,    0,0
20180109,    0,0
20180110,   25,2.5
20180111,    0,0
20180112,    0,0
20180113,    5,0.5
20180114,    0,0
20180115,    8,0.8
20180116,   40,4
20180117,   53,5.3
20180118,   38,3.8
20180119,   54,5.4
20180120,    0,0
20180121,    0,0
20180122,    7,0.7
20180123,    0,0
20180124,    0,0
20180125,   51,5.1
20180126,   19,1.9
20180127,    0,0
20180128,    4,0.4
20180129,    8,0.8
20180130,   38,3.8
20180131,   19,1.9
20180201,   35,3.5
20180202,   23,2.3
20180203,    0,0
20180204,   11,1.1
20180205,   23,2.3
20180206,   35,3.5
20180207,   46,4.6
20180208,   16,1.6
20180209,   11,1.1
20180210,    0,0
20180211,   58,5.8
20180212,   57,5.7
20180213,    0,0
20180214,    5,0.5
20180215,   52,5.2
20180216,   75,7.5
20180217,   73,7.3
20180218,   13,1.3
20180219,    0,0
20180220,    8,0.8
20180221,   17,1.7
20180222,   36,3.6
20180223,    4,0.4
20180224,   89,8.9
20180225,   95,9.5
20180226,   31,3.1
20180227,   54,5.4
20180228,   53,5.3
20180301,    0,0
20180302,    0,0
20180303,    0,0
20180304,    6,0.6
20180305,   14,1.4
20180306,   12,1.2
20180307,   44,4.4
20180308,   67,6.7
20180309,    0,0
20180310,    1,0.1
20180311,   13,1.3
20180312,    0,0
20180313,   41,4.1
20180314,   37,3.7
20180315,   27,2.7
20180316,   51,5.1
20180317,    0,0
20180318,    0,0
20180319,   54,5.4
20180320,   34,3.4
20180321,   97,9.7
20180322,   42,4.2
20180323,   31,3.1
20180324,    0,0
20180325,    0,0
20180326,   61,6.1
20180327,   17,1.7
20180328,   16,1.6
20180329,   25,2.5
20180330,    2,0.2
20180331,   11,1.1
20180401,    0,0
20180402,    1,0.1
20180403,    4,0.4
20180404,   11,1.1
20180405,   90,9
20180406,   85,8.5
20180407,   10,1
20180408,    0,0
20180409,    0,0
20180410,    3,0.3
20180411,    0,0
20180412,    0,0
20180413,    0,0
20180414,   86,8.6
20180415,    7,0.7
20180416,   63,6.3
20180417,   23,2.3
20180418,  126,12.6
20180419,  126,12.6
20180420,  129,12.9
20180421,   65,6.5
20180422,   87,8.7
20180423,   46,4.6
20180424,    0,0
20180425,   83,8.3
20180426,   89,8.9
20180427,    0,0
20180428,    0,0
20180429,    0,0
20180430,    0,0
20180501,   79,7.9
20180502,   40,4
20180503,  105,10.5
20180504,   84,8.4
20180505,  136,13.6
20180506,  134,13.4
20180507,  134,13.4
20180508,  114,11.4
20180509,  101,10.1
20180510,   94,9.4
20180511,   58,5.8
20180512,    5,0.5
20180513,   57,5.7
20180514,  111,11.1
20180515,  137,13.7
20180516,   21,2.1
20180517,  134,13.4
20180518,  125,12.5
20180519,  138,13.8
20180520,  138,13.8
20180521,   67,6.7
20180522,  136,13.6
20180523,   61,6.1
20180524,   11,1.1
20180525,   11,1.1
20180526,   82,8.2
20180527,   84,8.4
20180528,   68,6.8
20180529,    0,0
20180530,    0,0
20180531,   18,1.8
20180601,   30,3
20180602,   64,6.4
20180603,   90,9
20180604,    3,0.3
20180605,   54,5.4
20180606,  116,11.6
20180607,    4,0.4
20180608,   63,6.3
20180609,   39,3.9
20180610,   90,9
20180611,  121,12.1
20180612,   33,3.3
20180613,   69,6.9
20180614,   59,5.9
20180615,   92,9.2
20180616,   26,2.6
20180617,   12,1.2
20180618,   75,7.5
20180619,   21,2.1
20180620,   42,4.2
20180621,  121,12.1
20180622,  141,14.1
20180623,  104,10.4
20180624,  140,14
20180625,  144,14.4
20180626,  145,14.5
20180627,  107,10.7
20180628,   73,7.3
20180629,  141,14.1
20180630,  126,12.6
20180701,  104,10.4
20180702,  142,14.2
20180703,  135,13.5
20180704,   79,7.9
20180705,   94,9.4
20180706,  132,13.2
20180707,  130,13
20180708,  131,13.1
20180709,   82,8.2
20180710,   99,9.9
20180711,   81,8.1
20180712,   38,3.8
20180713,   59,5.9
20180714,  123,12.3
20180715,  142,14.2
20180716,  104,10.4
20180717,   85,8.5
20180718,   63,6.3
20180719,   73,7.3
20180720,   10,1
20180721,   60,6
20180722,   30,3
20180723,  122,12.2
20180724,  104,10.4
20180725,  116,11.6
20180726,  101,10.1
20180727,   73,7.3
20180728,   79,7.9
20180729,    0,0
20180730,   35,3.5
20180731,   99,9.9
20180801,  121,12.1
20180802,  133,13.3
20180803,  112,11.2
20180804,  132,13.2
20180805,  136,13.6
20180806,  133,13.3
20180807,   81,8.1
20180808,   89,8.9
20180809,    2,0.2
20180810,   52,5.2
20180811,   67,6.7
20180812,    0,0
20180813,   23,2.3
20180814,   38,3.8
20180815,   16,1.6
20180816,   23,2.3
20180817,   86,8.6
20180818,    2,0.2
20180819,   55,5.5
20180820,   39,3.9
20180821,   87,8.7
20180822,    6,0.6
20180823,   37,3.7
20180824,   63,6.3
20180825,   85,8.5
20180826,    0,0
20180827,   19,1.9
20180828,   21,2.1
20180829,   17,1.7
20180830,   84,8.4
20180831,   62,6.2
20180901,  122,12.2
20180902,  124,12.4
20180903,   83,8.3
20180904,   29,2.9
20180905,   61,6.1
20180906,   64,6.4
20180907,  108,10.8
20180908,    9,0.9
20180909,   41,4.1
20180910,   78,7.8
20180911,   13,1.3
20180912,    1,0.1
20180913,  104,10.4
20180914,   25,2.5
20180915,   69,6.9
20180916,   64,6.4
20180917,   95,9.5
20180918,   41,4.1
20180919,   41,4.1
20180920,    5,0.5
20180921,   89,8.9
20180922,    0,0
20180923,   38,3.8
20180924,  112,11.2
20180925,  105,10.5
20180926,  111,11.1
20180927,  110,11
20180928,   75,7.5
20180929,  101,10.1
20180930,   32,3.2
20181001,   74,7.4
20181002,   24,2.4
20181003,   52,5.2
20181004,    4,0.4
20181005,   31,3.1
20181006,    0,0
20181007,   79,7.9
20181008,   16,1.6
20181009,  100,10
20181010,   96,9.6
20181011,   17,1.7
20181012,   20,2
20181013,   44,4.4
20181014,    0,0
20181015,    0,0
20181016,   40,4
20181017,    0,0
20181018,   53,5.3
20181019,   85,8.5
20181020,   75,7.5
20181021,   87,8.7
20181022,   91,9.1
20181023,   33,3.3
20181024,   52,5.2
20181025,   59,5.9
20181026,   32,3.2
20181027,   38,3.8
20181028,   37,3.7
20181029,   72,7.2
20181030,    0,0
20181031,   59,5.9
20181101,    0,0
20181102,   79,7.9
20181103,   55,5.5
20181104,    5,0.5
20181105,   14,1.4
20181106,    3,0.3
20181107,    9,0.9
20181108,   65,6.5
20181109,   11,1.1
20181110,   41,4.1
20181111,   55,5.5
20181112,   43,4.3
20181113,   57,5.7
20181114,   66,6.6
20181115,    1,0.1
20181116,    0,0
20181117,   61,6.1
20181118,   64,6.4
20181119,   17,1.7
20181120,    0,0
20181121,   32,3.2
20181122,    1,0.1
20181123,    0,0
20181124,    0,0
20181125,    0,0
20181126,    0,0
20181127,    0,0
20181128,    0,0
20181129,    1,0.1
20181130,   49,4.9
20181201,    0,0
20181202,   12,1.2
20181203,   15,1.5
20181204,   30,3
20181205,    0,0
20181206,    0,0
20181207,   11,1.1
20181208,    7,0.7
20181209,   33,3.3
20181210,    0,0
20181211,   50,5
20181212,    2,0.2
20181213,   51,5.1
20181214,   20,2
20181215,    0,0
20181216,   14,1.4
20181217,   43,4.3
20181218,    0,0
20181219,   18,1.8
20181220,   19,1.9
20181221,    3,0.3
20181222,   15,1.5
20181223,    0,0
20181224,   21,2.1
20181225,    0,0
20181226,    0,0
20181227,   25,2.5
20181228,   14,1.4
20181229,    0,0
20181230,    0,0
